[2026-07-02T07:56:11.766Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/edit → 200 (564ms, ?B)
[2026-07-02T07:56:13.289Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/docos/p/sync?sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true → pending (?ms, ?B)
[2026-07-02T07:56:13.291Z] GET https://ssl.gstatic.com/docs/common/netcheck.gif?zx=cc5pkgc05c9l → pending (?ms, ?B)
[2026-07-02T07:56:13.381Z] GET https://www.gstatic.com/og/_/ss/k=og.asy.rmDKsWSOTEE.L.W.O/m=adcgm3/excm=/d=1/ed=1/ct=zgms/rs=AA2YrTvVbU6kFYShmb37FXVbeSuk0QBnfQ → pending (?ms, ?B)
[2026-07-02T07:56:13.431Z] GET https://www.gstatic.com/og/_/js/k=og.asy.en_US.PhFAqlkH-m0.2019.O/rt=j/m=_ac,_awd,ada,lldp,qads/exm=/d=1/ed=1/rs=AA2YrTs7cU8uR_Gvt5MxLbVMCfcZk2xF7w → 200 (437ms, 84724B)
[2026-07-02T07:56:13.890Z] POST https://ogads-pa.clients6.google.com/$rpc/google.internal.onegoogle.asyncdata.v1.AsyncDataService/GetAsyncData → pending (?ms, ?B)
[2026-07-02T07:56:14.241Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_docos → 200 (70ms, 441317B)
[2026-07-02T07:56:14.241Z] GET https://ssl.gstatic.com/docs/common/menu_feature_sprite13.svg → 200 (51ms, 15654B)
[2026-07-02T07:56:14.241Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMaxKUBHMdazTgWw.woff2 → 200 (143ms, 16676B)
[2026-07-02T07:56:14.241Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_pre_tertiary_deps → pending (?ms, ?B)
[2026-07-02T07:56:14.241Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_tertiary → pending (?ms, ?B)
[2026-07-02T07:56:14.241Z] GET https://ssl.gstatic.com/docs/common/material_common_sprite994.svg → 200 (138ms, ?B)
[2026-07-02T07:56:14.251Z] POST https://docs.google.com/document/font/getmetadata?includes_info_params=true&cros_files=false&nded=false → pending (?ms, ?B)
[2026-07-02T07:56:14.252Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/test?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&includes_info_params=true&cros_files=false&nded=false&VER=8&lsq=-1&u=ANONYMOUS_06287517911256457317&vc=1&c=1&w=1&flr=0&gsi&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&cimpl=0&MODE=init&zx=p1gljett5nm1&t=1 → pending (?ms, ?B)
[2026-07-02T07:56:14.252Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/trash/read?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&includes_info_params=true&cros_files=false&nded=false → pending (?ms, ?B)
[2026-07-02T07:56:14.252Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/peruserchrome?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&includes_info_params=true&cros_files=false&nded=false → pending (?ms, ?B)
[2026-07-02T07:56:14.260Z] POST https://play.google.com/log?format=json&hasfast=true&authuser=0 → pending (?ms, ?B)
[2026-07-02T07:56:14.378Z] POST https://peoplestackwebexperiments-pa.clients6.google.com/$rpc/peoplestackwebexperiments.PeopleStackExperimentsService/GetExperimentFlags → pending (?ms, ?B)
[2026-07-02T07:56:14.379Z] POST https://peoplestackwebexperiments-pa.clients6.google.com/$rpc/peoplestackwebexperiments.PeopleStackExperimentsService/GetExperimentFlags → pending (?ms, ?B)
[2026-07-02T07:56:14.553Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/test?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&includes_info_params=true&cros_files=false&nded=false&VER=8&tab=t.0&lsq=-1&u=ANONYMOUS_06287517911256457317&vc=1&c=1&w=1&flr=0&gsi&ar=365&arat=6DXmd6PrdzK4jA&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&cimpl=0&TYPE=xmlhttp&zx=et7dvm358hor&t=1 → 200 (470ms, ?B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/amaticsc/v28/TUZyzwprpvBS1izr_vOEDOSfU5cP1Q.woff2 → 200 (84ms, 1911B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIOpYT5Kmgq3sw.woff2 → 200 (86ms, 4303B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/comfortaa/v47/1Pt_g8LJRfWJmhDAuUsSQamb1W0lwk4S4WjMDrUfIB1Zyc61YA.woff2 → 200 (90ms, 1675B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/ebgaramond/v33/SlGDmQSNjdsmc35JDF1K5E55YMjF_7DPuGi-6_RkAo9_WamXgHlI.woff2 → 200 (85ms, 2579B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/lexend/v26/wlptgwvFAVdoq2_F94zlCfv0bz1WCzsWzLFneoCrCEswgg.woff2 → 200 (580ms, 1275B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/lobster/v32/neILzCirqoswsqX9zoSmM4MwWJU.woff2 → 200 (579ms, 1863B)
[2026-07-02T07:56:14.576Z] GET https://fonts.gstatic.com/s/lora/v37/0QI6MX1D_JOuGQbT0gvTJPa787weuxJHkq18ndeYxZ0.woff2 → 200 (580ms, 1439B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/merriweather/v33/u-4D0qyriQwlOrhSvowK_l5UcA6zuSYEqOzpPe3HOZJ5eX1WtLaQwmYiScCmDxhtNOKl8yDr3icaEl31CPDaYKfF.woff2 → 200 (579ms, 2235B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCtr6Hw_aXp-p7K4KLg.woff2 → 200 (656ms, 1514B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXI3I6Li01BKofiOc5wtlZ2di8HDLshdTI3j6zbXWjgeg.woff2 → 200 (662ms, 1559B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvsUBiZSSUhiCXAA.woff2 → 200 (578ms, 1379B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/pacifico/v23/FwZY7-Qmy14u9lezJ-6B6MmBp0u-.woff2 → 200 (578ms, 2387B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKdFvXDRbtPK-F2qC0s.woff2 → 200 (578ms, 2743B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/roboto/v51/KFOMCnqEu92Fr1ME7kSn66aGLdTylUAMQXC89YmC2DPNWubEbVmSiAr0klQmz24.woff2 → 200 (577ms, 1171B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/robotomono/v31/L0xuDF4xlVMF-BfR8bXMIhJHg45mwgGEFl0_3vq_QuW4AJi8SJQt.woff2 → 200 (662ms, 1428B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/robotoserif/v17/R71RjywflP6FLr3gZx7K8UyuXDs9zVwDmXCb8lxYgmuii32UGoVldX6UgfjL4-3sMM_kB_qXSEXTJQCFLH5-_bcEliotl6Z8ANxaV4jcFw.woff2 → 200 (578ms, 2499B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/spectral/v15/rnCr-xNNww_2s0amA9M_knjsS_ul.woff2 → 200 (577ms, 1391B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/amaticsc/v28/TUZyzwprpvBS1izr_vO0CO6YcZU.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.577Z] GET https://fonts.gstatic.com/s/amaticsc/v28/TUZ3zwprpvBS1izr_vOMscG6fL8F3WU.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9SIejYBxOggs.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjRV6SIejYBxOggs.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/comfortaa/v47/1Pt_g8LJRfWJmhDAuUsSQamb1W0lwk4S4WjMPrEVIT9d0c8.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/comfortaa/v47/1Pt_g8LJRfWJmhDAuUsSQamb1W0lwk4S4Y_LPrEVIT9d0c8.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/ebgaramond/v33/SlGDmQSNjdsmc35JDF1K5E55YMjF_7DPuGi-6_RUBoV-e62PgQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/ebgaramond/v33/SlGDmQSNjdsmc35JDF1K5E55YMjF_7DPuGi-DPNUBoV-e62PgQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/ebgaramond/v33/SlGFmQSNjdsmc35JDF1K5GRwUjcdlttVFm-rI7e8QI9_WamXgHlI.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/ebgaramond/v33/SlGFmQSNjdsmc35JDF1K5GRwUjcdlttVFm-rI7dbR49_WamXgHlI.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lexend/v26/wlptgwvFAVdoq2_F94zlCfv0bz1WCzsW_LVte6KvEEo.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lexend/v26/wlptgwvFAVdoq2_F94zlCfv0bz1WC9wR_LVte6KvEEo.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lobster/v32/neILzCirqoswsqX9_oCsNKEy.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lora/v37/0QI6MX1D_JOuGQbT0gvTJPa787weuyJDmKxemc-Z.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lora/v37/0QI6MX1D_JOuGQbT0gvTJPa787z5vCJDmKxemc-Z.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lora/v37/0QI8MX1D_JOuMw_hLdO6T2wV9KnW-MoFkq18ndeYxZ0.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/lora/v37/0QI8MX1D_JOuMw_hLdO6T2wV9KnW-C0Ckq18ndeYxZ0.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/merriweather/v33/u-4D0qyriQwlOrhSvowK_l5UcA6zuSYEqOzpPe3HOZJ5eX1WtLaQwmYiScCmDxhtNOKl8yDr3icqFlf0KvTCYQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/merriweather/v33/u-4D0qyriQwlOrhSvowK_l5UcA6zuSYEqOzpPe3HOZJ5eX1WtLaQwmYiScCmDxhtNOKl8yDrOSAqFlf0KvTCYQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/merriweather/v33/u-4B0qyriQwlOrhSvowK_l5-eTxCVx0ZbwLvKH2Gk9hLmp0v5yA-xXPqCzLvPee1XYk_XSf-FmTCUF31CPDaYKfF.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.578Z] GET https://fonts.gstatic.com/s/merriweather/v33/u-4B0qyriQwlOrhSvowK_l5-eTxCVx0ZbwLvKH2Gk9hLmp0v5yA-xXPqCzLvPee1XYk_XSf-FmQlV131CPDaYKfF.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCtr6Ew7Y3tco6q5.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCuM70w7Y3tco6q5.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jq6R9aXp-p7K4KLg.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jq0N6aXp-p7K4KLg.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXI3I6Li01BKofiOc5wtlZ2di8HDLshRTY9jo7fRWk.woff2 → 200 (784ms, 42312B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXI3I6Li01BKofiOc5wtlZ2di8HDFwmRTY9jo7fRWk.woff2 → 200 (784ms, 41768B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXK3I6Li01BKofIMPyPbj8d7IEAGXNirXA3j6zbXWjgeg.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXK3I6Li01BKofIMPyPbj8d7IEAGXNiSnc3j6zbXWjgeg.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvgURoZAaQniE.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1xZogURoZAaQniE.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/pacifico/v23/FwZY7-Qmy14u9lezJ96F4s6jpQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKdFvUDVZNLo_EWr.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKeiukDVZNLo_EWr.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_qiTbtPK-F2qC0s.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UbtPK-F2qC0s.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/roboto/v51/KFOMCnqEu92Fr1ME7kSn66aGLdTylUAMQXC89YmC2DPNWubEbWmWggvWlkwn.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/roboto/v51/KFOMCnqEu92Fr1ME7kSn66aGLdTylUAMQXC89YmC2DPNWuYjammWggvWlkwn.woff2 → 200 (777ms, 46260B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/roboto/v51/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLoHQiAr0klQmz24.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/roboto/v51/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLmbXiAr0klQmz24.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotomono/v31/L0xuDF4xlVMF-BfR8bXMIhJHg45mwgGEFl0_3vqPRu-5IpykSQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotomono/v31/L0xuDF4xlVMF-BfR8bXMIhJHg45mwgGEFl0_Of2PRu-5IpykSQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotomono/v31/L0xoDF4xlVMF-BfR8bXMIjhOsXG-q2oeuFoqFrlnAOW4AJi8SJQt.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotomono/v31/L0xoDF4xlVMF-BfR8bXMIjhOsXG-q2oeuFoqFrmAB-W4AJi8SJQt.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotoserif/v17/R71RjywflP6FLr3gZx7K8UyuXDs9zVwDmXCb8lxYgmuii32UGoVldX6UgfjL4-3sMM_kB_qXSEXTJQCFLH5-_bcEliotp6J2Af5eT4k.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotoserif/v17/R71RjywflP6FLr3gZx7K8UyuXDs9zVwDmXCb8lxYgmuii32UGoVldX6UgfjL4-3sMM_kB_qXSEXTJQCFLH5-_bcEls0qp6J2Af5eT4k.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.579Z] GET https://fonts.gstatic.com/s/robotoserif/v17/R71XjywflP6FLr3gZx7K8UyEVQnyR1E7VN-f51xYuGCQepOvB0KLc2v0wKKB0Q4MSZxyqf2CgAchbDJ69BcVZxkDg-JuT-R8ANxaV4jcFw.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.580Z] GET https://fonts.gstatic.com/s/robotoserif/v17/R71XjywflP6FLr3gZx7K8UyEVQnyR1E7VN-f51xYuGCQepOvB0KLc2v0wKKB0Q4MSZxyqf2CgAchbDJ69BcVZxkDg-JuqON8ANxaV4jcFw.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.580Z] GET https://fonts.gstatic.com/s/spectral/v15/rnCr-xNNww_2s0amA-M7mH_OSQ.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.580Z] GET https://fonts.gstatic.com/s/spectral/v15/rnCt-xNNww_2s0amA9M8knjsS_ul.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.580Z] GET https://fonts.gstatic.com/s/spectral/v15/rnCs-xNNww_2s0amA9uCt13DY_GtWA.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:14.580Z] GET https://fonts.gstatic.com/s/spectral/v15/rnCu-xNNww_2s0amA9M8qsHDafaPWnII.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:15.023Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_ita → 200 (149ms, 67185B)
[2026-07-02T07:56:15.036Z] GET https://ssl.gstatic.com/docs/common/blue_silhouette96-0.png → 200 (117ms, 456B)
[2026-07-02T07:56:15.036Z] GET https://ssl.gstatic.com/docs/common/profile/invalid_attribution_warning_16.svg → 200 (117ms, 287B)
[2026-07-02T07:56:15.037Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/bind?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&sid=21812f7611788f9&includes_info_params=true&cros_files=false&nded=false&VER=8&tab=t.0&lsq=-1&u=ANONYMOUS_06287517911256457317&vc=1&c=1&w=1&flr=0&gsi&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&cimpl=0&RID=47066&CVER=1&zx=9lgvpgebxafn&t=1 → 200 (308ms, 538B)
[2026-07-02T07:56:15.037Z] POST https://play.google.com/log?format=json&hasfast=true → 200 (168ms, 151B)
[2026-07-02T07:56:15.037Z] GET https://lh3.googleusercontent.com/a-/ALV-UjUZrn18Hip0Jardo-EV3sgPV9dSRy1NyqUtge-Omdm5YRRh1E9Z=s50-c-k-no → 200 (304ms, 4042B)
[2026-07-02T07:56:15.124Z] POST https://peoplestack-pa.clients6.google.com/$rpc/peoplestack.PeopleStackAutocompleteService/Autocomplete → pending (?ms, ?B)
[2026-07-02T07:56:15.131Z] GET https://docs.google.com/drivesharing/clientmodel?id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&foreignService=kix&authuser=0&origin=https%3A%2F%2Fdocs.google.com → 302 (245ms, ?B)
[2026-07-02T07:56:15.151Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/scripts/getitems?ruid=40&id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → 200 (227ms, 77B)
[2026-07-02T07:56:15.151Z] POST https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/scripts/uiready?ruid=41&id=16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM&ctx=%7B%22smId%22%3A%22%22%2C%22cur%22%3A1%2C%22rng%22%3A%5B%5D%2C%22rev%22%3A365%2C%22revMac%22%3A%226DXmd6PrdzK4jA%22%2C%22ssid%22%3A%2221812f7611788f9%22%2C%22docId%22%3A%2216bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM%22%2C%22app%22%3A%22KIX%22%7D&sid=21812f7611788f9&vc=1&c=1&w=1&flr=0&smv=2147483647&smb=%5B2147483647%2C%20oAMQ%5D&includes_info_params=true&cros_files=false&nded=false&tab=t.0 → pending (?ms, ?B)
[2026-07-02T07:56:15.151Z] GET https://apis.google.com/js/api.js → pending (?ms, ?B)
[2026-07-02T07:56:15.152Z] GET https://www.gstatic.com/docs/documents/images/building-blocks-sidebar-promo.svg → 200 (80ms, 1711B)
[2026-07-02T07:56:15.176Z] POST https://appsgenaiserver-pa.clients6.google.com/v1/genai/getSettings?key=AIzaSyCmh4zG9srkxnlT2O2FRJLrxBOBRaWWxNk → pending (?ms, ?B)
[2026-07-02T07:56:15.176Z] POST https://appsgenaiserver-pa.clients6.google.com/v1/genai/quotaSummary?key=AIzaSyCmh4zG9srkxnlT2O2FRJLrxBOBRaWWxNk → pending (?ms, ?B)
[2026-07-02T07:56:15.202Z] GET https://ssl.gstatic.com/inputtools/js/ime/2/ru_t_i0_und.js → 200 (152ms, 622B)
[2026-07-02T07:56:15.202Z] GET https://ssl.gstatic.com/inputtools/js/kbd/3/ru.js → 200 (153ms, 476B)
[2026-07-02T07:56:15.202Z] GET https://ssl.gstatic.com/inputtools/js/kbd/3/ru_phone.js → 200 (153ms, 331B)
[2026-07-02T07:56:15.202Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=datetimeresources → 200 (155ms, 31073B)
